;Nom officiel du musée;Commune;Code Postal;Latitude;Longitude
438;musée des Corbières;Sigean;11130.0;43.028689;2.979275
439;musée municipal;Millau;12100.0;44.097895;3.080595
440;musée des beaux-arts Denys Puech;Rodez;12000.0;44.349287;2.578079
441;musée Soulages;Rodez;12005.0;44.35313045450826;2.5679787878647
442;musée Albert André;Bagnols-sur-Cèze;30200.0;44.161992;4.619843
443;musée de l'Armagnac;Condom;32100.0;43.960792;0.372858
444;musée Joseph Abeilhe;Marciac;32230.0;43.524266;0.160982
445;musée archéologique;Saint-Bertrand-de-Comminges;31510.0;43.022611;0.579433
446;Le Musée - Arts et Figures des Pyrénées Centrales;Saint-Gaudens;31806.0;43.107604462692926;0.725714913499697
447;Les Abattoirs, musée d'art moderne et contemporain;Toulouse;31300.0;43.600678;1.428998
448;musée Georges Labit;Toulouse;31400.0;43.590964;1.4584
449;musée Salies;Bagnères-de-Bigorre;65200.0;43.063744;0.146227
450;musée pyrénéen;Lourdes;65100.0;43.096353;-0.048462
451;musée des beaux-arts;Béziers;34500.0;43.341429;3.210533
452;muséum d'histoire naturelle;Béziers;34500.0;43.338908;3.215208
453;musée de la cloche et de la sonnaille;Hérépian;34600.0;43.59470757501317;3.113299575519674
454;musée archéologique;Lattes;34970.0;43.566659;3.90858
455;musée de Lodève - hôtel du cardinal de Fleury;Lodève;34700.0;43.731613;3.319595
456;musée municipal;Murviel-lès-Montpellier;34570.0;43.604855;3.736827
457;musée de préhistoire;Saint-Pons-de-Thomières;34220.0;43.486827;2.761809
458;musée Champollion – les Ecritures du monde;Figeac;46100.0;44.609472;2.034599
459;musée d'art sacré;Rocamadour;46500.0;44.79958240429276;1.6175266643276274
460;musée Hyacinthe Rigaud;Perpignan;66000.0;42.698013;2.892984
461;musée de Cerdagne;Sainte-Léocadie;66800.0;42.439471;2.002067
462;musée de préhistoire;Tautavel;66720.0;42.813587;2.747533
463;musée Goya;Castres;81100.0;43.604813;2.239888
464;musée Jean Jaurès;Castres;81100.0;43.607135;2.240474
465;musée du Pays de Cocagne;Lavaur;81500.0;43.698318;1.820763
466;archéosite de Montans;Montans;81600.0;43.865466;1.885602
467;musée du pays rabastinois;Rabastens;81800.0;43.820418;1.724791
468;musée des arts et traditions populaires;Blain;44130.0;47.475727;-1.764575
469;musée du pays de Retz;Bourgneuf-en-Retz;44580.0;47.042318;-1.952164
470;musée municipal;Chateaubriant;44146.0;47.72100904526619;-1.3758648096623352
471;musée de la porte Saint-Michel;Guérande;44351.0;47.3278205451276;-2.4263477594064646
472;musée de la vigne et du vin d'Anjou;Saint-Lambert-du-Lattay;49750.0;47.305499;-0.635024
473;musée Robert Tatin;Cossé-le-Vivien;53230.0;47.942514;-0.906893
474;musée de l'ardoise;Rénazé;53800.0;47.792697;-1.059417
475;musée ornithologique Charles-Payraudeau;La Chaize-le-Vicomte;85310.0;46.671824;-1.292607
476;musée de l'abbaye Sainte-Croix;Les Sables d'Olonne;85100.0;46.497474;-1.777309
477;musée Milcendeau-Jean Yole;Soullans;85300.0;46.77769;-1.909718
478;musée Gassendi;Digne-les-Bains;4000.0;44.092652;6.235077
479;musée municipal;Forcalquier;4301.0;43.96244494216208;5.774406171816429
480;musée du Masque de fer et du Fort Royal;Cannes (Île Sainte-Marguerite);6400.0;43.520419;7.044228
481;muséum d'histoire naturelle;Nice;6300.0;43.701924;7.279572
482;musée de l'atelier de Paul Cézanne;Aix-en-Provence;13090.0;43.537816;5.446601
483;musée du pavillon de Vendôme;Aix-en-Provence;13100.0;43.530846;5.439915
484;musée du vieil Aix;Aix-en-Provence;13100.0;43.530857;5.447432
485;musée Réattu;Arles;13200.0;43.679186;4.627903
486;museon Arlaten;Arles;13200.0;43.54073;4.676089
487;musée de la Légion étrangère;Aubagne / Puyloubier;13400.0;43.29353800501653;5.553768624612289
488;musée Alphonse Daudet;Fontvieille;13390.0;43.380746;5.679968
489;musée d'histoire et d'archéologie des Baux-de-Provence;Les Baux-de-Provence;13520.0;43.743732;4.794938
490;musée-fondation Louis Jou;Les Baux-de-Provence;13520.0;43.744256;4.795333
491;musée des arts décoratifs, de la faïence et de la mode;Marseille;13008.0;43.258599;5.384175
492;musée des docks romains;Marseille;13002.0;43.29647;5.367908
493;muséum d'histoire naturelle;Marseille;13004.0;43.305143;5.394121
494;musée des tourneurs;Aiguines;83630.0;43.776017;6.243581
495;musée de la société d'études scientifiques et archéologiques;Draguignan;83300.0;43.536558;6.461588
496;musée de l'Annonciade;Saint-Tropez;83990.0;43.270865;6.637291
497;musée d'art de Toulon - M.A.T.;Toulon;83000.0;43.125971;5.927245
498;musée d’Apt;Apt;84400.0;43.875736;5.397687
499;muséum d'histoire naturelle Esprit Requien;Avignon;84000.0;43.946695;4.803397
500;musée lapidaire et archéologie;Carpentras;84200.0;44.055939;5.046763
501;musée du cartonnage et de l'imprimerie;Valréas;84600.0;44.382664;4.987351
502;musée agricole et industriel Stella Matutina;Piton-Saint-Leu;97424.0;-21.201257;55.296082
503;musée de l'Arche;Saint-Pierre;97500.0;46.777283;-56.175795
504;musée de Brou;Bourg-en-Bresse;1000.0;46.196549;5.236521
505;musée municipal;Gannat;3800.0;46.10177623665999;3.1965137135762065
506;musée gallo-romain;Néris-les-Bains;3310.0;46.287552;2.662598
507;muséAL musée départemental archéologique;Alba-la-Romaine;7400.0;44.561507;4.592008
508;cité de préhistoire;Orgnac-l'Aven;7150.0;44.310413;4.425665
509;musée Alfred Douët;Saint-Flour;15100.0;45.034016;3.095067
510;musée des arts et traditions populaires;Lavaudieu;43100.0;45.275033;3.434883
511;musée des Vallées de Thônes;Thônes;74230.0;45.881618;6.324161
512;musée Jadis Allevard;Allevard-les-Bains;38580.0;45.392543164883975;6.077135437624907
513;musée-parc archéologique du lac de Paladru;Montferrat (Charavines);38850.0;45.428526;5.51555
514;musée Champollion;Vif;38450.0;45.050408;5.6692
515;musée d'Allard;Montbrison;42600.0;45.608241;4.06195
516;musée d'art et d'industrie;Saint-Etienne;42000.0;45.431538;4.387485
517;musée de céramique gallo-romaine;Lezoux;63190.0;45.827628;3.383654
518;musée Marcel Sahut;Volvic;63530.0;45.872614;3.038881
519;musée des arts décoratifs;Lyon;69002.0;45.75342;4.83153
520;musée historique des tissus;Lyon;69002.0;45.753117;4.831633
521;musée Paul Dini;Villefranche-sur-Saône;69400.0;45.990936;4.721527
522;musée du docteur Faure;Aix-les-Bains;73100.0;45.692157;5.915578
523;musée des Charmettes;Chambéry;73000.0;45.552732;5.93011
524;musée Alésia - centre d'interprétation;Alise-Sainte-Reine;21150.0;47.536592;4.469595
525;musée des beaux-arts;Beaune;21200.0;47.02097;4.839393
526;musée Marey;Beaune;21200.0;47.02097;4.839393
527;musée du Châtillonnais;Châtillon-sur-Seine;21400.0;47.863791;4.574632
528;musée des beaux-arts;Dijon;21000.0;47.321356;5.042873
529;musée Buffon;Montbard;21506.0;47.62578588114577;4.336985936365956
530;musée des beaux-arts;Montbard;21500.0;47.624491;4.336901
531;musée de la résistance et de la déportation;Besançon;25042.0;47.22933847661575;6.0352366087194325
532;musée Baron Martin;Gray;70100.0;47.446411;5.592781
533;musée municipal Georges Garret;Vesoul;70000.0;47.623695;6.155771
534;Viséum-musée de la lunette (collections du musée de la lunette et du musée Jourdain);Morez;39400.0;46.521;6.022578
535;musée du Septennat;Château-Chinon;58120.0;47.06721;3.934311
536;musée municipal;La Charité-sur-Loire;58400.0;47.178081;3.016449
537;musée Ernest Guedon;Pouilly-sur-Loire;58150.0;47.285947;2.949487
538;musée du grès;Saint-Amand-en-Puisaye;58310.0;47.529775;3.07388
539;musée Rolin;Autun;71400.0;46.945723;4.299216
540;musée de la mine et des hommes;Blanzy;71450.0;46.701488;4.382962
541;musée Nicéphore Niepce;Chalon-sur-Saône;71100.0;46.780045;4.855727
542;musée des ursulines;Mâcon;71000.0;46.307508;4.833156
543;musée Lamartine;Mâcon;71000.0;46.307508;4.833156
544;musée municipal;Paray-le-Monial;71600.0;46.450396;4.119117
545;musée de Bibracte;Saint-Léger-sous-Beuvray;71990.0;46.934539;4.062979
546;musée Greuze - hôtel-Dieu;Tournus;71700.0;46.562137;4.910839
547;musée d'art et d'histoire;Belfort;90000.0;47.63757;6.867072
548;musée de Dinan;Dinan;22100.0;48.454713;-2.050808
549;musée de la pêche;Concarneau;29900.0;47.872103;-3.915485
550;écomusée d'Ouessant - Vivre sur une île;Ouessant;29242.0;48.460549;-5.110775
551;musée bigouden;Pont-l'Abbé;29120.0;47.866452;-4.227768
552;musée départemental breton;Quimper;29000.0;47.995125;-4.102602
553;écomusée du pays de Monfort;Montfort-sur-Meu;35160.0;48.141088;-1.959973
554;musée des beaux-arts;Rennes;35000.0;48.109837;-1.674981
555;musée d'histoire de la ville et d'ethnographie du pays malouin;Saint-Malo;35400.0;48.650738;-2.023727
556;musée de préhistoire Miln-le-Rouzic;Carnac;56340.0;47.584022;-3.0785
557;musée des beaux-arts;Vannes;56000.0;47.657693;-2.757556
558;musée Estève;Bourges;18000.0;47.085951;2.396195
559;musée Emile Chénon;Châteaumeillant;18370.0;46.5614;2.196543
560;musée Saint-Vic;Saint-Amand-Montrond;18200.0;46.720657;2.506654
561;musée des beaux-arts;Chartres;28000.0;48.447624;1.486763
562;musée Marcel Proust;Illiers-Combray;28120.0;48.299696;1.243114
563;musée archéologique d'Argentomagus;Saint-Marcel;36200.0;46.600503;1.515379
564;musée de la poste;Amboise;37400.0;47.413925;0.985929
565;musée municipal;Richelieu;37120.0;47.011912;0.324353
566;musée Balzac;Saché;37190.0;47.245703;0.544078
567;musée du Savignéen;Savigné-sur-Lathan;37340.0;47.445748;0.319748
568;écomusée du Véron;Savigny-en-Véron;37420.0;47.209697;0.124427
569;muséum d'Orléans pour la biodiversité et l'environnement;Orléans;45000.0;47.907734;1.909578
570;musée municipal;Pithiviers;45300.0;48.172521;2.255004
571;maison de la magie;Blois;41000.0;47.586566;1.332917
572;musée municipal;Vendôme;41100.0;47.792111;1.064507
573;musée napoléonien;Ajaccio;20000.0;41.92499;8.735937
574;musée archéologique de Mariana - Prince Rainier III de Monaco;Lucciana;20290.0;42.542773;9.442618
575;musée Pascal Paoli;Morosaglia;20261.0;42.4378881569962;9.30935382387544
576;musée Arthur Rimbaud;Charleville-Mezières;8000.0;49.776034;4.720613
577;musée du feutre;Mouzon;8210.0;49.605919;5.074601
578;musée du pays de Hanau - histoire et vies d'un territoire;Bouxwiller;67330.0;48.824977;7.482915
579;musée alsacien;Haguenau;67500.0;48.814611;7.789527
580;musée de la chartreuse;Molsheim;67120.0;48.54278;7.49023
581;maison de l'archéologie des Vosges du Nord;Niederbronn-les-Bains;67110.0;48.947444;7.650428
582;musée du château des Rohan;Saverne;67700.0;48.741958;7.362787
583;musée archéologique;Strasbourg;67000.0;48.581229;7.751984
584;musée historique;Strasbourg;67000.0;48.580579;7.749714
585;musée sundgauvien;Altkirch;68130.0;47.623329;7.237204
586;musée Bartholdi;Colmar;68000.0;48.076747;7.357746
587;musée Théodore Deck et des pays du Florival;Guebwiller;68500.0;47.905522;7.214504
588;musée historique;Kaysersberg;68240.0;48.139072;7.261441
589;musée des beaux-arts;Mulhouse;68100.0;47.745774;7.338271
590;musée historique;Mulhouse;68100.0;47.746642;7.338434
591;musée paysan;Oltingue;68480.0;47.492827;7.391275
592;musée du Dolder;Riquewihr;68340.0;48.166916;7.297406
593;musée de l'ancien collège des jésuites;Reims;51100.0;49.246527;4.040071
594;musée départemental Raymond Poincaré;Sampigny;55300.0;48.827583;5.50824
595;musée Jeanne d'Arc;Vaucouleurs;55140.0;48.602652;5.666
596;musées de la Cour d'or;Metz;57000.0;49.121051;6.177978
597;musée du pays de Sarrebourg;Sarrebourg;57400.0;48.734975;7.055253
598;musée départemental d'art ancien et contemporain;Epinal;88000.0;48.17326;6.446595
599;musée Charles de Bruyères;Remiremont;88200.0;48.016142;6.593289
600;musée de la Thiérache;Vervins;2140.0;49.834696;3.907684
601;musée Alexandre Dumas;Villers-Cotterets;2600.0;49.253009;3.089691
602;musée du Mont-de-Piété;Bergues;59380.0;50.969087;2.430391
603;musée de la Chartreuse;Douai;59500.0;50.374404;3.07548
604;musée de la Bataille de Fromelles;Fromelles;59249.0;50.60833357625654;2.851973487884077
605;musée Henri Matisse;Le Cateau-Cambrésis;59360.0;50.105684;3.541175
606;musée d'histoire naturelle et de géologie;Lille;59000.0;50.626639;3.066546
607;MusVerre;Sars-Poteries;59216.0;50.164428;4.023602
608;Muba Eugène Leroy Tourcoing / musée des beaux-arts Eugène Leroy de Tourcoing;Tourcoing;59200.0;50.724594;3.162878
609;LaM - Lille Métropole Musée d'art moderne, d'art contemporain et d'art brut;Villeneuve-d'Ascq;59650.0;50.637497;3.148587
610;musée de la voiture et du tourisme (annexe du musée national du château de Compiègne);Compiègne;60200.0;49.418172668861054;2.8299891671026103
611;musée de Picardie;Amiens;80000.0;49.890413;2.295968
612;musée d'histoire naturelle;Amiens;80000.0;49.89079127287645;2.2962542880135013
613;musée Danicourt;Péronne;80201.0;49.93027;2.9357
614;musée municipal;Etampes;91150.0;48.434307;2.161909
615;musée départemental Albert-Kahn;Boulogne-Billancourt;92100.0;48.841354;2.227488
616;musée-jardin Paul Landowski;Boulogne-Billancourt;92100.0;48.844261;2.246847
617;musée d'art et d'histoire;Meudon;92190.0;48.806412;2.234894
618;musée du Grand Siècle;Saint-Cloud;92210.0;48.83901;2.21992
619;maison de Balzac;Paris;75016.0;48.855398;2.280805
620;musée de la Libération de Paris - musée du général Leclerc - musée Jean Moulin;Paris;75015.0;48.840614;2.319773
621;musée des Plans-reliefs;Paris;75007.0;48.858219;2.312885
622;musée national de l'histoire et des cultures de l'immigration;Paris;75012.0;48.836753;2.390394
623;musée Zadkine;Paris;75006.0;48.842793;2.333457
624;musée national de la marine;Paris;75116.0;48.86425;2.293754
625;musée Jean-Jacques Henner;Paris;75017.0;48.883045;2.307689
626;musée de l'assistance publique - hôpitaux de Paris;Paris;75005.0;48.838805;2.356007
627;musée du Moyen Âge - thermes et hôtel de Cluny;Paris;75005.0;48.850437;2.344553
628;muséum national d'histoire naturelle;Paris;75005.0;48.842168;2.359933
629;musée Rodin;Paris;75007.0;48.855868;2.31598
630;maison natale de Louis Braille;Coupvray;77400.0;48.867372;2.712931
631;musée municipal;Crécy-la-Chapelle;77580.0;48.85813263142596;2.908441509296712
632;musée de Melun;Melun;77000.0;48.536398;2.658972
633;musée des pays de Seine-et-Marne;Saint-Cyr-sur-Morin;77750.0;48.90803;3.18169
634;musée de l'air et de l'espace;Le Bourget;93352.0;48.94681950649236;2.4355624358692265
635;musée d'art et d'histoire Paul Eluard;Saint-Denis;93200.0;48.932336;2.355796
636;musée de la toile de Jouy;Jouy-en-Josas;78350.0;48.768986;2.153216
637;musée Victor Aubert;Maule;78580.0;48.908246;1.847178
638;musée Rambolitrain;Rambouillet;78120.0;48.646025;1.823892
639;musée départemental Maurice Denis;Saint-Germain-en-Laye;78100.0;48.892495;2.087541
640;collections de la fondation de Coubertin;Saint-Rémy-lès-Chevreuse;78470.0;48.706544;2.069096
641;musée municipal le vieux manoir;Orbec;14290.0;49.022096;0.406804
642;musée de la bataille de Tilly-sur-Seulles;Tilly-sur-Seulles;14250.0;49.177537;-0.612546
643;musée et sites archéologiques de Vieux-la-Romaine;Vieux;14930.0;49.105412;-0.431321
644;musée paléontologique;Villers-sur-Mer;14640.0;49.328057;0.013729
645;musée municipal;Vire;14500.0;48.835996;-0.888245
646;musée de l'ancien évêché;Evreux;27000.0;49.023998;1.1502
647;musée Alphonse-Georges Poulain;Vernon;27200.0;49.094855;1.484927
648;musée Emmanuel Liais;Cherbourg;50100.0;49.6429;-1.630729
649;musée d'Art et d'Histoire de Granville;Granville;50400.0;48.837248;-1.602814
650;musée régional du cidre et du calvados;Valognes;50700.0;49.505993;-1.470416
651;musée de la poêlerie;Villedieu-les-Poêles;50800.0;48.840754;-1.221648
652;musée municipal - musée du jouet;La Ferté-Macé;61200.0;48.59056896905563;-0.3590626630746374
653;musée départemental d'art sacré;Sées;61500.0;48.605422;0.171614
654;Les Pêcheries, musée de Fécamp;Fécamp;76400.0;49.76179;0.36825
655;musée de l'ancien Havre;Le Havre;76600.0;49.488805;0.114474
656;musée municipal;Lillebonne;76170.0;49.517842;0.535803
657;musée national de l'éducation;Rouen;76000.0;49.441397;1.101667
658;musée Pierre Corneille;Rouen;76000.0;49.443051;1.086748
659;musée de la mytiliculture;Esnandes;17137.0;46.250245;-1.111861
660;musée d'art et d'histoire;Rochefort;17300.0;45.935666;-0.962523
661;musée de la maison de Pierre Loti;Rochefort;17300.0;45.934295;-0.962724
662;musée Bernard d'Agesci;Niort;79000.0;46.321065;-0.454107
663;musée d'art et d'histoire Georges Turpin;Parthenay;79200.0;46.652064;-0.24942
664;musée d'art et d'histoire Henri Barré;Thouars;79100.0;46.973531;-0.217936
665;musée Paul Reclus;Domme;24250.0;44.803211;1.214147
666;musée des arts et traditions populaires;Mussidan;24400.0;45.037634;0.361673
667;musée départemental de la poupée et du jouet;Nontron;24300.0;45.527264;0.660717
668;musée gallo-romain de Vésunna;Périgueux;24000.0;45.179999;0.71269
669;musée archéologique;Blasimon;33540.0;44.748299;-0.074554
670;centre national Jean Moulin;Bordeaux;33000.0;44.838651;-0.577869
671;musée historique du vieux Libourne;Libourne;33500.0;44.91480330332367;-0.2451799495176577
672;musée des arts et traditions populaires de la Chalosse;Montfort-en-Chalosse;40380.0;43.715749;-0.833916
673;musée d'Art et d'Histoire du Cap de Gascogne;Saint-Sever;40500.0;43.758542;-0.572168
674;musée archéologique;Sanguinet;40460.0;44.483822;-1.075791
675;musée basque;Bayonne;64100.0;43.491093;-1.473823
676;musée Charbonneau-Lassay;Loudun;86200.0;47.009976;0.075743
677;collection d'histoire naturelle;Poitiers;86000.0;46.580584;0.348113
678;musée Sainte-Croix;Poitiers;86000.0;46.581142;0.344434
679;musée municipal;Lastours;11600.0;43.333993;2.379223
680;musée des arts et métiers;Salles-la-Source;12330.0;44.430577;2.483923
681;musée du Colombier;Alès;30100.0;44.129352;4.080982
682;musée Léon Alègre;Bagnols-sur-Cèze;30200.0;44.164822;4.621051
683;musée des beaux-arts;Nîmes;30000.0;43.832001;4.36081
684;muséum d'histoire naturelle et de préhistoire;Nîmes;30033.0;43.83798099757179;4.363712139325677
685;musée municipal Georges Borias;Uzès;30701.0;44.01264172485314;4.422302423935738
686;musée Pierre de Luxembourg;Villeneuve-les-Avignon;30400.0;43.965433;4.796403
687;musée-forum de l'Aurignacien;Aurignac;31420.0;43.216166;0.88003
688;musée du vieux Toulouse;Toulouse;31000.0;43.602258;1.443132
689;muséum d'histoire naturelle;Bagnères-de-Bigorre;65200.0;43.051963;0.147001
690;musée municipal;Luz-Saint-Sauveur;65120.0;42.870941;-0.002108
691;musée Massey;Tarbes;65000.0;43.232141;0.073892
692;musée Fabre;Montpellier;34000.0;43.61135;3.880685
693;musée Murat;Labastide-Murat;46240.0;44.645658;1.568198
694;musée Joseph Puig;Perpignan;66000.0;42.69945;2.883256
695;muséum d'histoire naturelle;Perpignan;66931.0;42.697731358540544;2.900461442325304
696;musée d'histoire naturelle Philadelphe-Thomas;Gaillac;81600.0;43.89944;1.89408
697;musée du textile;Labastide-Rouairoux;81270.0;43.476776;2.638539
698;musée Ingres Bourdelle;Montauban;82000.0;44.017091;1.35188
699;musées des beaux-arts;Nantes;44000.0;47.219276;-1.547096
700;musée Jean Lurcat et de la tapisserie contemporaine;Angers;49100.0;47.477759;-0.557052
701;musée Joseph Denais;Beaufort-en-Vallée;49250.0;47.44022;-0.217749
702;bibliothèque-musée;Saint-Calais;72120.0;47.920368;0.743518
703;musée du nord Vendée;Montaigu;85600.0;46.974635;-1.313386
704;musée Picasso;Antibes;6600.0;43.580973;7.127959
705;musée d'art et d'histoire de Provence;Grasse;6130.0;43.657615;6.922508
706;musée de préhistoire régionale;Menton;6500.0;43.776334;7.503564
707;musée d'art moderne et d'art contemporain;Nice;6364.0;43.701774652556;7.278984299489203
708;musée de paléontologie de Terra Amata;Nice;6300.0;43.698046;7.288686
709;musée du palais Lascaris;Nice;6300.0;43.697686;7.27733
710;musée du vieux logis;Nice;6000.0;43.740194;7.238038
711;écomusée de la Roudoule;Puget-Rostang;62060.0;43.97425297359047;6.919841120393623
712;musée Magnelli - musée de la céramique;Vallauris;6220.0;43.579971;7.052887
713;fondation Vasarely;Aix-en-Provence;13096.0;43.5212929153;5.42464477906
714;musée des tapisseries;Aix-en-Provence;13100.0;43.531366;5.447546
715;musée camarguais;Arles;13200.0;43.67679;4.61542
716;musée de l'Arles antique;Arles;13635.0;43.672753063626814;4.617175830175759
717;musée René Beaucaire;Istres;13808.0;43.50979987780633;4.991101411125364
718;musée ciotaden;La Ciotat;13600.0;43.173755;5.60973
719;musée Cantini;Marseille;13006.0;43.292383;5.378137
720;musée Estrine;Saint-Rémy-de-Provence;13210.0;43.788801;4.832266
721;musée de Salon et de la Crau;Salon-de-Provence;13300.0;43.64095;5.104363
722;musée des arts et traditions populaires de moyenne Provence;Draguignan;83300.0;43.538282;6.463862
723;musée des Beaux-Arts;Draguignan;83300.0;43.537982;6.464818
724;musée d'archéologie gallo-romaine du Var;Fréjus;83600.0;43.43347344413099;6.736489013507804
725;musée Jean Aicard;Solliès-Ville;83210.0;43.181724;6.039364
726;musée Marc Deydier;Cucuron;84160.0;43.772678;5.440606
727;musée municipal;Sault;84390.0;44.091143;5.408027
728;musée précolombien Edgar Clerc;Le Moule;97136.0;15.850088;-61.646677
729;musée l'Herminier;Pointe-à-Pitre;97163.0;16.238507302787937;-61.536727081391085
730;musée Saint-John-Perse;Pointe-à-Pitre;97110.0;16.236416;-61.535945
731;musée régional d'histoire et d'ethnologie;Fort-de-France;97200.0;14.606106;-61.065619
732;maison de la canne;Les Trois-Ilets;97229.0;14.531893;-61.026775
733;musées des pays de l'Ain;Bourg-en-Bresse;1000.0;46.196543;5.219217
734;musée du Bugey-Valromey;Lochieu;1260.0;45.930633;5.727664
735;musée de la résistance et de la déportation de l'Ain;Nantua;1130.0;46.152378;5.608744
736;musée régional;Les Vans;7140.0;44.404332;4.131418
737;musée de la batellerie du Rhône;Serrières;7340.0;45.317802;4.763253
738;musée départemental du château;Grignan;26230.0;44.439013;4.873189
739;musée des beaux-arts;Valence;26000.0;44.931125;4.889563
740;musée de paléontologie;Chilhac;43380.0;45.148133;3.402324
741;musée alpin;Chamonix;74400.0;45.923429;6.871049
742;musée de Thonon-les-Bains;Thonon-les-Bains;74200.0;46.37487;6.48177
743;musée des antiquités gallo-romaines;Aoste;38490.0;45.587605;5.60661
744;musée Géo-Charles;Echirolles;38130.0;45.14935;5.699614
745;musée de la résistance et de la déportation;Grenoble;38000.0;45.190041;5.735245
746;musée Stendhal;Grenoble;38000.0;45.191481;5.728083
747;musée Hébert - d'Uckermann;La Tronche;38700.0;45.205613;5.751334
748;musée de la mine;Saint-Etienne;42000.0;45.438944;4.376487
749;musée des civilisations : Daniel Pouget;Saint-Just-Saint-Rambert;42170.0;45.500657;4.242057
750;musée rural;Usson-en-Forez;42550.0;45.392445;3.943885
751;musée de la dentelle;Arlanc;63220.0;45.414373;3.724421
752;muséum d'histoire naturelle Lecoq;Clermont-Ferrand;63000.0;45.774138;3.088299
753;musée lapidaire;Mozac;63200.0;45.892133;3.094609
754;musée des sapeurs-pompiers de Lyon;Lyon;69009.0;45.790491;4.797411
755;musée Gadagne;Lyon;69005.0;45.763856;4.827749
756;muséum d'histoire naturelle;Chambéry;73000.0;45.563911;5.916266
757;musée de la sidérurgie en Bourgogne du Nord;Buffon;21500.0;47.649485;4.260891
758;musée Noisot;Fixin;21220.0;47.245363;4.962515
759;musée municipal;Nuits-Saint-Georges;21700.0;47.138661;4.950405
760;musée des arts et traditions des Hautes-Côtes;Reulle-Vergy;21220.0;47.187026;4.895293
761;musée départemental Albert Demard;Champlitte;70600.0;47.617066;5.517093
762;musée départemental de la montagne Albert Demard;Château-Lambert;70440.0;47.836247;6.734944
763;musée de la Tour des échevins;Luxeuil-les-Bains;70300.0;47.816821;6.380482
764;musée de l'artisanat jurassien;Baume-les-Messieurs;39210.0;46.70795;5.648585
765;musée lapidaire Saint-Nicolas;Autun;71400.0;46.955328;4.300179
766;musée Vivant Denon;Chalon-sur-Saône;71100.0;46.78105;4.853082
767;musée René Davoine;Charolles;71120.0;46.431434;4.273059
768;musée de la tour du moulin;Marcigny;71110.0;46.274562;4.044451
769;écomusée de la Bresse bourguignonne;Pierre-de-Bresse;71270.0;46.88298;5.261603
770;maison du blé et du pain;Verdun-sur-le-Doubs;71350.0;46.897337;5.024918
771;forge-musée;Etueffont;90170.0;47.722575;6.920842
772;musée Mathurin Meheut;Lamballe;22404.0;48.46953167624482;-2.515800988211214
773;musée;Pont-Aven;29930.0;47.855497;-3.747155
774;musée des meilleurs ouvriers de France;Bourges;18000.0;47.081774;2.398494
775;musée Hôtel Morin;Amboise;37400.0;47.410737;0.981446
776;muséum d'histoire naturelle;Tours;37000.0;47.394637;0.68388
777;musée de Minerve;Yzeures-sur-Creuse;37290.0;46.785983;0.869839
778;musée Daniel Vannier;Beaugency;45190.0;47.777611;1.633585
779;atelier-musée de l'imprimerie, Le Malesherbois;Malesherbes;45330.0;48.299076917985694;2.3864524975252785
780;château musées;Blois;41000.0;47.585598;1.331665
781;atelier musée Louis Leygue;Naveil;41100.0;47.795395;1.04019
782;musée national de la maison Bonaparte;Ajaccio;20000.0;41.917701;8.73795
783;musée de l'Alta-Rocca;Lévie;20170.0;41.704223;9.125161
784;musée des beaux-arts et d'archéologie;Troyes;10000.0;48.300638;4.08003
785;musée zoologique de l'université Louis Pasteur et de la ville de Strasbourg;Strasbourg;67000.0;48.582707;7.764645
786;maison des Lumières Denis Diderot;Langres;52200.0;47.866417;5.331753
787;musée de la coutellerie;Nogent-en-Bassigny;52800.0;48.02758;5.341424
788;muséum d'histoire naturelle et d'ethnographie;Colmar;68000.0;48.073594;7.35872
789;musée français du chemin de fer;Mulhouse;68200.0;47.732372;7.312824
790;musée Vauban;Neuf-Brisach;68600.0;48.016144;7.525674
791;écomusée de la montagne de Reims;Pourcy;51160.0;49.112985;4.029412
792;musée Saint-Rémi;Reims;51100.0;49.243111;4.040351
793;muséum-aquarium de Nancy;Nancy;54000.0;48.695072;6.188467
794;musée d'art et d'histoire;Toul;54200.0;48.678544;5.89134
795;maison du verre et du cristal;Meisenthal;57960.0;48.964935;7.352438
796;musée Louis Français;Plombières-les-Bains;88370.0;47.964095;6.458494
797;musée Pierre Noël - musée de la vie dans les Hautes-Vosges;Saint-Dié-des-Vosges;88100.0;48.295658;6.947961
798;musée Jeanne d'Aboville;La Fère;2800.0;49.661954;3.367748
799;musée municipal;Cambrai;59400.0;50.17347;3.229635
800;musée de Flandre;Cassel;59670.0;50.799755;2.48621
801;musée des dentelles et broderies;Caudry;59540.0;50.124558;3.410691
802;musée d'art contemporain;Dunkerque;59240.0;51.04527160424991;2.383243784876889
803;musée des beaux-arts;Dunkerque;59140.0;51.037327;2.375518
804;musée des beaux-arts;Lille;59000.0;50.621132;3.068387
805;musée de la Tour abbatiale;Saint-Amand-les-Eaux;59230.0;50.448711;3.427672
806;musée des beaux-arts;Valenciennes;59300.0;50.35582;3.53105
807;musée de la céramique architecturale et industrielle;Auneuil;60390.0;49.371534;1.99164
808;musée Gallé-Juillet;Creil;60100.0;49.260793;2.473388
809;musée d'art et d'archéologie;Senlis;60300.0;49.20653;2.585615
810;musée archéologique de l'Oise;Vendeuil-Caply;60120.0;49.627157;2.316919
811;musée d'ethnologie régionale;Béthune;62400.0;50.53621;2.648177
812;cité internationale de la dentelle et de la mode;Calais;62100.0;50.950474;1.860013
